company_id,cik,ticker,company_name,accession_number,report_year,filing_date,ai_disclosure_binary,ai_term_count,ai_terms_per_1000_words,ai_sentence_count,ai_sentence_ratio,total_analysis_word_count,total_analysis_sentence_count,ai_detection_status
S2022-250,0000055785,KMB,Kimberly-Clark,0000055785-23-000012,2022,2023-02-09,0,0,0.0,0,0.0,30608,1744,success
S2022-251,0000879101,KIM,Kimco Realty,0001437749-23-004541,2022,2023-02-24,0,0,0.0,0,0.0,48608,2490,success
S2022-252,0001506307,KMI,Kinder Morgan,0001506307-23-000023,2022,2023-02-08,0,0,0.0,0,0.0,56918,2615,success
S2022-253,0001637459,KHC,Kraft Heinz,0001637459-23-000009,2022,2023-02-16,1,1,0.01702098687681912,1,0.0003633720930232558,58751,2752,success
S2022-254,0000056873,KR,Kroger,0001558370-22-004595,2022,2022-03-29,0,0,0.0,0,0.0,46063,2488,success
S2022-255,0000202058,LHX,L3Harris,0000202058-23-000014,2022,2023-02-24,0,0,0.0,0,0.0,67885,2929,success
S2022-256,0001065696,LKQ,LKQ Corporation,0001065696-23-000008,2022,2023-02-23,1,5,0.09243340173405061,3,0.0011705033164260631,54093,2563,success
S2022-257,0000920148,LH,Labcorp,0000920148-23-000017,2022,2023-02-28,1,4,0.06023098583066058,3,0.0009205277692543725,66411,3259,success
S2022-258,0000707549,LRCX,Lam Research,0000707549-22-000107,2022,2022-08-24,1,4,0.09321836401771148,2,0.0009760858955588092,42910,2049,success
S2022-259,0001679273,LW,Lamb Weston,0001558370-22-011121,2022,2022-07-27,0,0,0.0,0,0.0,41237,2032,success
S2022-260,0001300514,LVS,Las Vegas Sands,0001300514-23-000021,2022,2023-02-03,0,0,0.0,0,0.0,69112,2834,success
