company_id,cik,ticker,company_name,accession_number,report_year,filing_date,parser_version,language_measurement_version,ai_concreteness_mean,ai_concreteness_median,ai_concreteness_standard_deviation,ai_concreteness_min,ai_concreteness_max,ai_concreteness_matched_token_count,ai_concreteness_eligible_token_count,ai_concreteness_unmatched_token_count,ai_concreteness_coverage,ai_concreteness_unique_dictionary_entries,ai_concreteness_stem_collision_count,ai_concreteness_status
S2022-150,0000033213,EQT,EQT Corporation,0000033213-23-000008,2022,2023-02-16,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-151,0000915389,EMN,Eastman Chemical Co.,0000915389-23-000015,2022,2023-02-15,1.0.3,0.3.0,3.0591666666666666,3.02,0.8463791342471109,1.64,4.73,48,66,18,0.7272727272727273,21,10,warning_stem_collisions
S2022-152,0001551182,ETN,Eaton Corporation,0001551182-23-000004,2022,2023-02-23,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-153,0000031462,ECL,Ecolab,0001558370-23-001969,2022,2023-02-24,1.0.3,0.3.0,3.1407692307692305,2.93,0.7355736802341791,2.21,4.54,13,20,7,0.65,13,2,warning_stem_collisions
S2022-154,0000827052,EIX,Edison International,0000827052-23-000010,2022,2023-02-23,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-155,0001099800,EW,Edwards Lifesciences,0001099800-23-000005,2022,2023-02-13,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-156,0000712515,EA,Electronic Arts,0000712515-22-000011,2022,2022-05-25,1.0.3,0.3.0,3.1758333333333333,3.13,0.8692569464139409,1.62,4.8,24,30,6,0.8,22,1,warning_stem_collisions
S2022-157,0001156039,ELV,Elevance Health,0001156039-23-000007,2022,2023-02-15,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-158,0000032604,EMR,Emerson Electric,0000032604-22-000041,2022,2022-11-14,1.0.3,0.3.0,2.72,2.43,0.7736493607140986,1.64,3.93,9,13,4,0.6923076923076923,9,3,warning_stem_collisions
S2022-159,0001463101,ENPH,Enphase Energy,0001463101-23-000025,2022,2023-02-13,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
