report_year,original_ticker,original_company_name,original_exclusion_reason,matched_panel_company_id,matched_panel_cik,matched_panel_ticker_history,matched_panel_company_name_history,candidate_cik_count,identity_match_method,identity_match_status,sec_lookup_status,eligible_filing_count,selected_accession_number,selected_filing_date,selected_report_date,selected_primary_document,recovery_status,recovery_reason,requires_manual_review
2022,FLT,FLEETCOR Technologies,cik_missing_in_2022_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2022,FRC,First Republic Bank,cik_missing_in_2022_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2022,HES,Hess Corporation,cik_missing_in_2022_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2022,HOLX,Hologic,cik_missing_in_2022_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2022,IPG,Interpublic Group,cik_missing_in_2022_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2022,JNPR,Juniper Networks,cik_missing_in_2022_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2022,K,Kellanova,cik_missing_in_2022_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2022,MRO,Marathon Oil,cik_missing_in_2022_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2022,PXD,Pioneer Natural Resources,cik_missing_in_2022_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2022,SIVB,SVB Financial Group,cik_missing_in_2022_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2022,SEE,Sealed Air,cik_missing_in_2022_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2022,SBNY,Signature Bank,cik_missing_in_2022_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
